"","Revenue.AUD.","cluster"
"881",63.59,3
"882",149.55,3
"883",227.17,1
"884",135.18,3
"885",181.77,1
"886",451.05,1
"887",144.37,3
"888",72.68,3
"889",81.77,3
"890",145.37,3
"891",250.83,1
"892",131.8,3
"893",56.64,3
"894",172.01,3
"895",90.14,3
"896",131.64,3
"897",81.72,3
"898",35.6,3
"899",126.46,3
"900",181.7,1
"901",399.81,1
"902",155.88,3
"903",181.77,1
"904",140.44,3
"905",75,3
"906",81.77,3
"907",31.08,3
"908",57.45,3
"909",53.32,3
"910",54.46,3
"911",87.23,3
"912",90.86,3
"913",26.51,3
"914",49.95,3
"915",72.68,3
"916",86.32,3
"917",90.91,3
"918",215.73,1
"919",127.26,3
"920",109.09,3
"921",181.82,1
"922",1939.04,2
"923",0,3
"924",163.54,3
"925",90.86,3
"926",82.7,3
"927",90.86,3
"928",370.69,1
"929",195.32,1
"930",45.45,3
"931",253.64,1
"932",83.62,3
"933",106.28,3
"934",104.47,3
"935",181.72,1
"936",72.68,3
"937",418.03,1
"938",152.01,3
"939",113.64,3
"940",413.54,1
"941",85.91,3
"942",81.73,3
"943",35.42,3
"944",0,3
"945",202.92,1
"946",118.18,3
"947",127.27,3
"948",63.59,3
"949",203.53,1
"950",58.35,3
"951",81.82,3
"952",90.89,3
"953",99.95,3
"954",104.46,3
"955",265.53,1
"956",72.67,3
"957",45.45,3
"958",159.09,3
"959",163.54,3
"960",101.77,3
"961",236.21,1
"962",149.98,3
"963",77.27,3
"964",81.73,3
"965",63.59,3
"966",26.53,3
"967",27.37,3
"968",81.36,3
"969",72.87,3
"970",88.59,3
"971",323.42,1
"972",254.47,1
"973",68.52,3
"974",98.18,3
"975",63.62,3
"976",40.77,3
"977",277.09,1
"978",136.36,3
"979",81.77,3
"980",54.5,3
"981",44.72,3
"982",26.51,3
"983",79.94,3
"984",109.05,3
"985",94.82,3
"986",131.74,3
"987",240.76,1
"988",163.44,3
"989",72.72,3
"990",525.38,2
"991",72.72,3
"992",2.87,3
"993",53.59,3
"994",194.05,1
"995",390.8,1
"996",186.32,1
"997",71.82,3
"998",81.72,3
"999",54.54,3
"1000",72.69,3
"1001",44.51,3
"1002",81.36,3
"1003",145.41,3
"1004",189.88,1
"1005",145.36,3
"1006",290.91,1
"1007",154,3
"1008",181.82,1
"1009",54.53,3
"1010",63.59,3
"1011",153.5,3
"1012",426.18,1
"1013",30.91,3
"1014",118.18,3
"1015",162.41,3
"1016",54.54,3
"1017",70.91,3
"1018",44.54,3
"1019",41.09,3
"1020",298.64,1
"1021",180.91,1
"1022",226.42,1
"1023",78.95,3
"1024",108.1,3
"1025",28.35,3
"1026",79.96,3
"1027",145.42,3
"1028",117.27,3
"1029",153.64,3
"1030",90.9,3
"1031",12.87,3
"1032",539.95,2
"1033",129.91,3
"1034",399.96,1
"1035",90.86,3
"1036",140.81,3
"1037",418.14,1
"1038",259.09,1
"1039",1169.71,2
"1040",180.91,1
"1041",90.86,3
"1042",181.78,1
"1043",127.19,3
"1044",157.64,3
"1045",59.09,3
"1046",90.9,3
"1047",109,3
"1048",71.5,3
"1049",118.09,3
"1050",72.68,3
"1051",63.63,3
"1052",63.63,3
"1053",468.97,1
"1054",96.3,3
"1055",104.5,3
"1056",245.25,1
"1057",155.61,3
"1058",90.86,3
"1059",171.77,3
"1060",127.23,3
"1061",53.14,3
"1062",161.72,3
"1063",40.32,3
"1064",74.5,3
"1065",81.7,3
"1066",263.57,1
"1067",172.64,3
"1068",266.6,1
"1069",168.07,3
"1070",88.59,3
"1071",71.82,3
"1072",146.36,3
"1073",168.18,3
"1074",172.68,3
"1075",54.5,3
"1076",39.99,3
"1077",44.65,3
"1078",81.77,3
"1079",139.96,3
"1080",135.45,3
"1081",80.91,3
"1082",109.05,3
"1083",65.42,3
"1084",72.67,3
"1085",95.41,3
"1086",81.77,3
"1087",80.41,3
"1088",39.96,3
"1089",81.82,3
"1090",81.77,3
"1091",208.94,1
"1092",149.91,3
"1093",99.95,3
"1094",63.61,3
"1095",339.59,1
"1096",105.37,3
"1097",56.82,3
"1098",344.55,1
"1099",277.15,1
"1100",109.94,3
"1101",86.3,3
"1102",244.55,1
"1103",218.12,1
"1104",189.5,1
"1105",118.14,3
"1106",18.36,3
"1107",53.64,3
"1108",146.05,3
"1109",73.61,3
"1110",208.18,1
"1111",163.64,3
"1112",54.5,3
"1113",307.9,1
"1114",373.9,1
"1115",35.6,3
"1116",72.72,3
"1117",59.09,3
"1118",208.14,1
"1119",71.82,3
"1120",50.9,3
"1121",59.64,3
"1122",195.54,1
"1123",77.18,3
"1124",294.5,1
"1125",90.85,3
"1126",54.5,3
"1127",35.42,3
"1128",181.05,1
"1129",96.29,3
"1130",136.27,3
"1131",44.72,3
"1132",462.59,1
"1133",69.82,3
"1134",271.82,1
"1135",26.51,3
"1136",192.58,1
"1137",163.54,3
"1138",172.68,3
"1139",350.41,1
"1140",63.59,3
"1141",376.73,1
"1142",44.72,3
"1143",53.64,3
"1144",59.05,3
"1145",90.91,3
"1146",194.52,1
"1147",104.09,3
"1148",77.27,3
"1149",90.86,3
"1150",42.46,3
"1151",100,3
"1152",186.36,1
"1153",190.84,1
"1154",655.42,2
"1155",1051.63,2
"1156",0,3
"1157",80.59,3
"1158",81.77,3
"1159",663.11,2
"1160",84.02,3
